sa3_region,rate_per_100000
Yarra,"13,788.3"
Wyndham,"6,450.1"
Whittlesea,"7,094.3"
Nillumbik,"3,499.9"
Moreland,"7,306.6"
Melton,"8,363.8"
Melbourne,"19,482.6"
Maribyrnong,"9,574.8"
Hobsons Bay,"5,911.0"
Darebin,"9,499.9"
Brimbank,"9,625.1"
Banyule,"7,139.7"
Yarra Ranges,"5,474.3"
Whitehorse,"5,193.4"
Monash,"6,310.9"
Maroondah,"6,706.2"
Manningham,"3,767.7"
Knox,"7,254.9"
Boroondara,"4,350.4"
Stonnington,"9,767.1"
Port Phillip,"11,548.5"
Mornington Peninsula,"6,714.9"
Kingston,"6,972.4"
Greater Dandenong,"11,401.2"
Glen Eira,"5,004.1"
Frankston,"10,296.1"
Casey,"6,326.2"
Cardinia,"6,612.3"
Bayside,"5,192.1"
Macedon Ranges,"5,368.6"